coefficient_name,value,constrain
joint_walk_ASC_auto_deficient_univ,-1.960770607,T
joint_walk_ASC_auto_sufficient_univ,-3.235215664,T
joint_bike_ASC_no_auto_univ,-2.867159843,T
joint_bike_ASC_auto_deficient_univ,-6.076415062,T
joint_bike_ASC_auto_sufficient_univ,-6.376065731,T
joint_sr3p_ASC_no_auto_univ,0.5630670785903931,T
joint_sr3p_ASC_auto_deficient_univ,-1.884169221,T
joint_sr3p_ASC_auto_sufficient_univ,-2.234826088,T
joint_walk_transit_ASC_no_auto_univ,0.6229241490364075,T
joint_walk_transit_ASC_auto_deficient_univ,-5.163448334,T
joint_walk_transit_ASC_auto_sufficient_univ,-18.264534,T
joint_drive_transit_ASC_auto_deficient_univ,-5.96322155,T
joint_drive_transit_ASC_auto_sufficient_univ,-8.045285225,T
joint_taxi_ASC_no_auto_univ,-4.579199791,T
joint_taxi_ASC_auto_deficient_univ,-9.815699577,T
joint_taxi_ASC_auto_sufficient_univ,-11.7098999,T
joint_tnc_single_ASC_no_auto_univ,-4.491700172,T
joint_tnc_single_ASC_auto_deficient_univ,-9.896100044,T
joint_tnc_single_ASC_auto_sufficient_univ,-14.01589966,T
joint_tnc_shared_ASC_no_auto_univ,-4.300199986,T
joint_tnc_shared_ASC_auto_deficient_univ,-11.15719986,T
joint_tnc_shared_ASC_auto_sufficient_univ,-13.20499992,T
local_bus_ASC_univ,2.4925947189331055,T
walk_light_rail_ASC_univ,1.6870479583740234,T
drive_light_rail_ASC_univ,3.3075032234191895,T
walk_ferry_ASC_univ,-10.52428341,T
drive_ferry_ASC_univ,25.705476760864258,T
express_bus_ASC_univ,16.808095932006836,T
heavy_rail_ASC_univ,16.390430450439453,T
commuter_rail_ASC_univ,1.4276279211044312,T
walk_transit_CBD_ASC_univ,-12.58957863,T
drive_transit_CBD_ASC_univ,-4.664581776,T
coef_topology_walk_multiplier_work,15,T
coef_topology_bike_multiplier_work,20,T
coef_topology_trn_multiplier_work,2.200000047683716,T
joint_walk_ASC_no_auto_work,-0.212747008,T
joint_walk_ASC_auto_deficient_work,-1.960770607,T
joint_walk_ASC_auto_sufficient_work,-3.235215664,T
joint_bike_ASC_no_auto_work,-2.867159843,T
joint_bike_ASC_auto_deficient_work,-6.076415062,T
joint_bike_ASC_auto_sufficient_work,-6.376065731,T
joint_sr3p_ASC_no_auto_work,0.5630670785903931,T
joint_sr3p_ASC_auto_deficient_work,-1.884169221,T
joint_sr3p_ASC_auto_sufficient_work,-2.234826088,T
joint_walk_transit_ASC_no_auto_work,0.6229241490364075,T
joint_walk_transit_ASC_auto_deficient_work,-5.163448334,T
joint_walk_transit_ASC_auto_sufficient_work,-18.264534,T
joint_drive_transit_ASC_auto_deficient_work,-5.96322155,T
joint_drive_transit_ASC_auto_sufficient_work,-8.045285225,T
joint_taxi_ASC_no_auto_work,-4.579199791,T
joint_taxi_ASC_auto_deficient_work,-9.815699577,T
joint_taxi_ASC_auto_sufficient_work,-11.7098999,T
joint_tnc_single_ASC_no_auto_work,-4.491700172,T
joint_tnc_single_ASC_auto_deficient_work,-9.896100044,T
joint_tnc_single_ASC_auto_sufficient_work,-14.01589966,T
joint_tnc_shared_ASC_no_auto_work,-4.300199986,T
joint_tnc_shared_ASC_auto_deficient_work,-11.15719986,T
joint_tnc_shared_ASC_auto_sufficient_work,-13.20499992,T
coef_topology_walk_multiplier_school,15,T
coef_topology_bike_multiplier_school,20,T
coef_topology_trn_multiplier_school,2.200000047683716,T
coef_age1619_da_multiplier_school,-8.380271912,T
coef_age010_trn_multiplier_school,-1.21376729,T
coef_hhsize2_sr_multiplier_school,-9.539117813,T
taxi_ASC_no_auto_school,-20.69768333,T
joint_walk_ASC_no_auto_school,-0.212747008,T
joint_walk_ASC_auto_deficient_school,-1.960770607,T
joint_walk_ASC_auto_sufficient_school,-3.235215664,T
joint_bike_ASC_no_auto_school,-2.867159843,T
joint_bike_ASC_auto_deficient_school,-6.076415062,T
joint_bike_ASC_auto_sufficient_school,-6.376065731,T
joint_sr3p_ASC_no_auto_school,0.5630670785903931,T
joint_sr3p_ASC_auto_deficient_school,-1.884169221,T
joint_sr3p_ASC_auto_sufficient_school,-2.234826088,T
joint_walk_transit_ASC_no_auto_school,0.6229241490364075,T
joint_walk_transit_ASC_auto_deficient_school,-5.163448334,T
joint_walk_transit_ASC_auto_sufficient_school,-18.264534,T
joint_drive_transit_ASC_auto_deficient_school,-5.96322155,T
joint_drive_transit_ASC_auto_sufficient_school,-8.045285225,T
joint_taxi_ASC_no_auto_school,-4.579199791,T
joint_taxi_ASC_auto_deficient_school,-9.815699577,T
joint_taxi_ASC_auto_sufficient_school,-11.7098999,T
joint_tnc_single_ASC_no_auto_school,-4.491700172,T
joint_tnc_single_ASC_auto_deficient_school,-9.896100044,T
joint_tnc_single_ASC_auto_sufficient_school,-14.01589966,T
joint_tnc_shared_ASC_no_auto_school,-4.300199986,T
joint_tnc_shared_ASC_auto_deficient_school,-11.15719986,T
