,coefficient_name,value,constrain
359,joint_walk_transit_ASC_auto_deficient_work,-5.163448333740234,T
360,joint_walk_transit_ASC_auto_sufficient_work,-18.26453399658203,T
361,joint_drive_transit_ASC_auto_deficient_work,-5.963221549987793,T
362,joint_drive_transit_ASC_auto_sufficient_work,-8.04528522491455,T
363,joint_taxi_ASC_no_auto_work,-4.57919979095459,T
364,joint_taxi_ASC_auto_deficient_work,-9.815699577331543,T
365,joint_taxi_ASC_auto_sufficient_work,-11.70989990234375,T
366,joint_tnc_single_ASC_no_auto_work,-4.491700172424316,T
367,joint_tnc_single_ASC_auto_deficient_work,-9.896100044250488,T
368,joint_tnc_single_ASC_auto_sufficient_work,-14.015899658203125,T
369,joint_tnc_shared_ASC_no_auto_work,-4.30019998550415,T
370,joint_tnc_shared_ASC_auto_deficient_work,-11.15719985961914,T
371,joint_tnc_shared_ASC_auto_sufficient_work,-13.204999923706055,T
372,coef_topology_walk_multiplier_othdiscr,15.0,T
373,coef_topology_bike_multiplier_othdiscr,20.0,T
374,coef_topology_trn_multiplier_othdiscr,2.200000047683716,T
375,coef_age16p_sr_multiplier_othdiscr,-2.3171846866607666,T
376,taxi_ASC_no_auto_othdiscr,-2.327359914779663,T
377,taxi_ASC_auto_deficient_othdiscr,-4.100593090057373,T
378,taxi_ASC_auto_sufficient_othdiscr,-6.62978982925415,T
379,tnc_single_ASC_no_auto_othdiscr,2.54059100151062,T
380,tnc_single_ASC_auto_deficient_othdiscr,-4.886672019958496,T
381,tnc_single_ASC_auto_sufficient_othdiscr,-1.0067518949508667,T
382,tnc_shared_ASC_no_auto_othdiscr,-1.8006985187530518,T
383,tnc_shared_ASC_auto_deficient_othdiscr,-6.237719535827637,T
384,tnc_shared_ASC_auto_sufficient_othdiscr,-6.133493423461914,T
385,joint_walk_ASC_no_auto_othdiscr,-3.7767629623413086,T
386,joint_walk_ASC_auto_deficient_othdiscr,-7.808385848999023,T
387,joint_walk_ASC_auto_sufficient_othdiscr,-10.836250305175781,T
388,joint_bike_ASC_no_auto_othdiscr,-7.906693458557129,T
389,joint_bike_ASC_auto_deficient_othdiscr,-13.036675453186035,T
390,joint_bike_ASC_auto_sufficient_othdiscr,-18.811681747436523,T
391,joint_sr3p_ASC_no_auto_othdiscr,5.705215930938721,T
392,joint_sr3p_ASC_auto_deficient_othdiscr,5.161497592926025,T
393,joint_sr3p_ASC_auto_sufficient_othdiscr,4.369340419769287,T
394,joint_walk_transit_ASC_no_auto_othdiscr,-3.8175477981567383,T
395,joint_walk_transit_ASC_auto_deficient_othdiscr,-13.016018867492676,T
396,joint_walk_transit_ASC_auto_sufficient_othdiscr,-30.24227523803711,T
397,joint_drive_transit_ASC_auto_deficient_othdiscr,-15.476896286010742,T
398,joint_drive_transit_ASC_auto_sufficient_othdiscr,-17.30493927001953,T
399,joint_taxi_ASC_no_auto_othdiscr,-10.3826904296875,T
400,joint_taxi_ASC_auto_deficient_othdiscr,-17.923263549804688,T
401,joint_taxi_ASC_auto_sufficient_othdiscr,-20.10908317565918,T
402,joint_tnc_single_ASC_no_auto_othdiscr,-10.43783950805664,T
403,joint_tnc_single_ASC_auto_deficient_othdiscr,-18.068540573120117,T
404,joint_tnc_single_ASC_auto_sufficient_othdiscr,-22.124801635742188,T
405,joint_tnc_shared_ASC_no_auto_othdiscr,-10.202680587768555,T
406,joint_tnc_shared_ASC_auto_deficient_othdiscr,-19.265125274658203,T
407,joint_tnc_shared_ASC_auto_sufficient_othdiscr,-21.66203498840332,T
408,local_bus_ASC_othdiscr,4.031097888946533,T
409,walk_light_rail_ASC_othdiscr,-4.7923078536987305,T
410,drive_light_rail_ASC_othdiscr,-0.8943958878517151,T
411,walk_ferry_ASC_othdiscr,-5.0956292152404785,T
412,drive_ferry_ASC_othdiscr,-2.0261104106903076,T
413,express_bus_ASC_othdiscr,0.23484420776367188,T
414,heavy_rail_ASC_othdiscr,0.5482535362243652,T
415,commuter_rail_ASC_othdiscr,-4.767793655395508,T
416,walk_transit_CBD_ASC_othdiscr,-4.035687446594238,T
417,drive_transit_CBD_ASC_othdiscr,-3.0075252056121826,T
418,coef_topology_walk_multiplier_shopping,15.0,T
419,coef_topology_bike_multiplier_shopping,20.0,T
420,coef_topology_trn_multiplier_shopping,2.200000047683716,T
421,coef_age16p_sr_multiplier_shopping,-1.362649917602539,T
422,taxi_ASC_no_auto_shopping,-3.8036961555480957,T
423,taxi_ASC_auto_deficient_shopping,-2.8550283908843994,T
424,taxi_ASC_auto_sufficient_shopping,-5.0094313621521,T
425,tnc_single_ASC_no_auto_shopping,-0.8557919859886169,T
426,tnc_single_ASC_auto_deficient_shopping,1.5574933290481567,T
427,tnc_single_ASC_auto_sufficient_shopping,-1.1987613439559937,T
428,tnc_shared_ASC_no_auto_shopping,-2.5849876403808594,T
429,tnc_shared_ASC_auto_deficient_shopping,-2.2580978870391846,T
430,tnc_shared_ASC_auto_sufficient_shopping,-2.8260865211486816,T
431,joint_walk_ASC_no_auto_shopping,1.2258421182632446,T
432,joint_walk_ASC_auto_deficient_shopping,-4.312488079071045,T
